time_et,open,high,low,close,volume
2025-09-03 15:00,236.94,237.3,236.8,237.26,464044
2025-09-03 15:05,237.27,237.4,237.09,237.095,501259
2025-09-03 15:10,237.085,237.2,236.96,237.09,403860
2025-09-03 15:15,237.08,237.23,236.89,237.225,407847
2025-09-03 15:20,237.22,237.32,237.0587,237.247,419670
2025-09-03 15:25,237.255,237.45,237.14,237.155,550229
2025-09-03 15:30,237.1558,237.44,237.1504,237.44,455583
2025-09-03 15:35,237.445,237.66,237.43,237.53,729762
2025-09-03 15:40,237.53,237.8,237.53,237.695,656539
2025-09-03 15:45,237.69,237.8699,237.62,237.8699,634896
2025-09-03 15:50,237.86,237.95,237.57,237.65,1409485
2025-09-03 15:55,237.64,238.71,237.41,238.47,11759320
2025-09-04 09:30,238.47,239.36,237.11,237.8558,2038570
2025-09-04 09:35,237.87,238.3475,237.04,237.5345,1021632
2025-09-04 09:40,237.51,238.37,237.33,238.3438,813745
2025-09-04 09:45,238.32,239.5486,238.2889,239.5,1506538
2025-09-04 09:50,239.505,239.8932,238.8041,239.115,1353426
2025-09-04 09:55,239.12,239.74,238.98,239.52,892049
2025-09-04 10:00,239.54,239.59,238.44,238.465,944404
2025-09-04 10:05,238.5,238.5,238.05,238.235,627036
2025-09-04 10:10,238.24,238.49,238.05,238.0501,464147
2025-09-04 10:15,238.06,238.22,237.6712,238.085,652764
2025-09-04 10:20,238.09,238.23,237.66,237.93,526552
2025-09-04 10:25,237.92,238.1597,237.61,237.69,582642
2025-09-04 10:30,237.68,238.1,237.58,237.9,566246
2025-09-04 10:35,237.88,237.92,237.635,237.75,368843
2025-09-04 10:40,237.75,237.86,237.36,237.385,432543
2025-09-04 10:45,237.3781,237.57,237.2301,237.3399,550829
2025-09-04 10:50,237.31,237.78,237.17,237.6405,541837
2025-09-04 10:55,237.64,237.6599,237.32,237.4716,307824
2025-09-04 11:00,237.47,238.04,237.465,237.905,473360
2025-09-04 11:05,237.91,238.1,237.63,237.79,402471
2025-09-04 11:10,237.755,237.8374,237.44,237.48,336275
2025-09-04 11:15,237.48,237.5768,237.28,237.36,320677
2025-09-04 11:20,237.36,237.49,237.075,237.24,579891
2025-09-04 11:25,237.22,237.49,237.16,237.4,342462
2025-09-04 11:30,237.39,237.49,237.16,237.23,295320
2025-09-04 11:35,237.23,237.43,236.84,236.96,618278
2025-09-04 11:40,236.97,237.02,236.74,236.985,392796
2025-09-04 11:45,236.96,237.27,236.9,237.1601,307589
2025-09-04 11:50,237.1701,237.3197,237.07,237.3197,266303
2025-09-04 11:55,237.3124,237.48,237.12,237.41,352004
2025-09-04 12:00,237.4184,237.495,237.07,237.265,321647
2025-09-04 12:05,237.26,237.61,237.22,237.58,248834
2025-09-04 12:10,237.575,237.575,237.41,237.5218,197871
2025-09-04 12:15,237.51,237.56,237.36,237.46,200073
2025-09-04 12:20,237.47,237.6746,237.43,237.575,196580
2025-09-04 12:25,237.6,237.6273,237.14,237.16,281412
2025-09-04 12:30,237.15,237.26,237.0846,237.25,166044
2025-09-04 12:35,237.23,237.35,237.1154,237.2192,195493
2025-09-04 12:40,237.21,237.2269,237.02,237.03,148524
2025-09-04 12:45,237.05,237.285,236.97,237.17,288957
2025-09-04 12:50,237.18,237.525,237.1355,237.5,304259
2025-09-04 12:55,237.5158,237.63,237.43,237.51,354450
2025-09-04 13:00,237.5101,237.835,237.5,237.7563,279561
2025-09-04 13:05,237.75,237.86,237.675,237.815,322900
2025-09-04 13:10,237.82,238.04,237.79,237.795,349359
2025-09-04 13:15,237.79,238.07,237.7801,237.965,218254
2025-09-04 13:20,237.96,238.09,237.95,238.065,235518
2025-09-04 13:25,238.075,238.085,237.9234,238.04,208181
2025-09-04 13:30,238.0401,238.11,237.74,237.8097,309584
2025-09-04 13:35,237.8,237.85,237.52,237.527,300050
2025-09-04 13:40,237.53,237.75,237.51,237.69,1243959
2025-09-04 13:45,237.69,237.87,237.62,237.8515,1077724
2025-09-04 13:50,237.85,238.22,237.78,238.02,377385
2025-09-04 13:55,238.025,238.16,237.89,238.145,186632
2025-09-04 14:00,238.15,238.3118,238.01,238.1,244260
2025-09-04 14:05,238.08,238.13,237.88,238.095,270577
2025-09-04 14:10,238.091,238.31,238.08,238.31,403824
2025-09-04 14:15,238.3116,238.39,238.02,238.03,287586
2025-09-04 14:20,238.04,238.08,237.89,237.97,207366
2025-09-04 14:25,237.975,238.14,237.94,238.06,184340
2025-09-04 14:30,238.07,238.15,237.94,238.01,210608
2025-09-04 14:35,238.02,238.04,237.88,237.97,210516
2025-09-04 14:40,237.97,238.2315,237.96,237.99,186711
2025-09-04 14:45,238.0026,238.44,237.97,238.39,326247
2025-09-04 14:50,238.393,238.7115,238.3838,238.49,458901
2025-09-04 14:55,238.515,238.7,238.4303,238.475,346883
2025-09-04 15:00,238.49,238.59,238.33,238.525,265005
2025-09-04 15:05,238.53,238.72,238.3501,238.67,355027
2025-09-04 15:10,238.68,238.83,238.59,238.815,329570
2025-09-04 15:15,238.82,238.85,238.65,238.68,270952
2025-09-04 15:20,238.6728,238.98,238.67,238.875,339394
2025-09-04 15:25,238.887,238.97,238.663,238.7045,515153
2025-09-04 15:30,238.7,238.9062,238.64,238.78,298229
2025-09-04 15:35,238.76,238.87,238.49,238.83,502126
2025-09-04 15:40,238.83,238.93,238.67,238.9,433752
2025-09-04 15:45,238.9,238.95,238.8058,238.89,370623
2025-09-04 15:50,238.88,239.75,238.87,239.7284,1361133
2025-09-04 15:55,239.72,239.8999,239.64,239.78,8138954
2025-09-05 09:30,240.0,240.62,239.18,240.07,3366072
2025-09-05 09:35,240.05,240.48,239.42,240.01,1708046
2025-09-05 09:40,240.01,240.61,239.52,239.65,1242883
2025-09-05 09:45,239.64,240.5603,239.52,240.51,904113
2025-09-05 09:50,240.51,240.65,239.88,240.16,748115
2025-09-05 09:55,240.17,240.2427,239.67,240.0742,646215
2025-09-05 10:00,240.085,240.755,239.84,240.685,924351
2025-09-05 10:05,240.68,241.1867,240.6,241.055,1136175
2025-09-05 10:10,241.07,241.32,240.68,240.72,994022
2025-09-05 10:15,240.73,240.815,239.17,239.21,1350620
2025-09-05 10:20,239.2,239.91,239.12,239.74,1065733
2025-09-05 10:25,239.77,240.0,239.26,239.285,802692
2025-09-05 10:30,239.25,239.6399,238.95,239.055,864701
2025-09-05 10:35,239.07,239.3,238.83,239.0357,476655
2025-09-05 10:40,239.05,239.24,238.81,239.01,419883
2025-09-05 10:45,239.005,239.04,238.72,238.8789,510751
2025-09-05 10:50,238.8683,239.4299,238.64,239.3716,540479
2025-09-05 10:55,239.37,239.3845,238.79,238.99,622423
2025-09-05 11:00,238.99,239.1,238.86,239.01,406221
2025-09-05 11:05,239.01,239.24,238.8,239.04,512122
2025-09-05 11:10,239.0262,239.5,238.87,239.4101,541808
2025-09-05 11:15,239.425,239.73,239.39,239.5194,418063
2025-09-05 11:20,239.5,239.96,239.47,239.9201,448750
2025-09-05 11:25,239.92,240.17,239.66,239.805,776529
2025-09-05 11:30,239.82,240.1195,239.81,239.9828,384729
2025-09-05 11:35,239.99,240.29,239.96,240.07,619438
2025-09-05 11:40,240.055,240.315,239.96,240.0401,356909
2025-09-05 11:45,240.04,240.05,239.34,239.42,429842
2025-09-05 11:50,239.44,239.44,239.06,239.15,335259
2025-09-05 11:55,239.1527,239.36,238.92,238.9946,406519
2025-09-05 12:00,238.99,239.08,238.7242,238.89,268890
2025-09-05 12:05,238.91,239.0,238.71,238.955,239953
2025-09-05 12:10,238.95,239.265,238.88,239.08,390772
2025-09-05 12:15,239.07,239.13,238.61,238.8392,311360
2025-09-05 12:20,238.84,239.0,238.52,238.9895,244668
2025-09-05 12:25,238.98,239.0,238.7,238.77,231468
2025-09-05 12:30,238.78,238.9,238.4901,238.54,183291
2025-09-05 12:35,238.54,239.08,238.54,239.03,344125
2025-09-05 12:40,239.0299,239.44,238.99,239.4109,492265
2025-09-05 12:45,239.41,239.61,239.23,239.3873,555675
2025-09-05 12:50,239.395,239.72,238.9052,239.039,537762
2025-09-05 12:55,239.04,239.3599,238.98,239.33,214162
2025-09-05 13:00,239.3,239.52,239.165,239.36,405803
2025-09-05 13:05,239.3514,239.545,239.15,239.52,307202
2025-09-05 13:10,239.515,239.725,239.41,239.57,255686
2025-09-05 13:15,239.58,239.68,239.385,239.54,231266
2025-09-05 13:20,239.53,239.5799,239.3428,239.455,223295
2025-09-05 13:25,239.47,239.645,239.42,239.625,243099
2025-09-05 13:30,239.6485,239.65,239.39,239.505,186142
2025-09-05 13:35,239.5001,239.53,239.35,239.415,196543
2025-09-05 13:40,239.4,239.431,238.91,239.0,395250
2025-09-05 13:45,238.99,239.1,238.81,238.85,295623
2025-09-05 13:50,238.85,239.015,238.73,238.96,192328
2025-09-05 13:55,238.955,238.955,238.765,238.865,287147
2025-09-05 14:00,238.87,239.05,238.85,239.0142,297232
2025-09-05 14:05,239.01,239.0899,238.91,238.97,185897
2025-09-05 14:10,238.97,239.04,238.91,239.03,186809
2025-09-05 14:15,239.02,239.24,239.005,239.0399,185237
2025-09-05 14:20,239.03,239.1318,238.955,239.0,202820
2025-09-05 14:25,239.0,239.135,238.9613,239.12,173342
2025-09-05 14:30,239.12,239.525,239.1,239.4984,417818
2025-09-05 14:35,239.51,239.68,239.44,239.6599,451187
2025-09-05 14:40,239.67,239.78,239.595,239.78,450377
2025-09-05 14:45,239.7786,239.93,239.76,239.8591,376797
2025-09-05 14:50,239.86,239.9,239.48,239.6212,327771
2025-09-05 14:55,239.6287,239.98,239.58,239.955,304065
2025-09-05 15:00,239.95,239.99,239.8,239.9,548447
2025-09-05 15:05,239.905,240.03,239.76,239.88,462081
2025-09-05 15:10,239.87,240.02,239.8,239.98,390628
2025-09-05 15:15,239.98,240.13,239.84,239.88,673405
2025-09-05 15:20,239.87,239.985,239.76,239.98,307758
2025-09-05 15:25,239.975,240.055,239.9101,239.925,485916
2025-09-05 15:30,239.93,239.9698,239.52,239.825,503321
2025-09-05 15:35,239.81,240.0,239.81,239.95,363991
2025-09-05 15:40,239.96,240.015,239.87,239.9293,313410
2025-09-05 15:45,239.925,239.99,239.8,239.8601,339599
2025-09-05 15:50,239.86,239.94,239.06,239.2025,1034093
2025-09-05 15:55,239.21,239.71,239.06,239.69,8313251
2025-09-08 09:30,239.34,239.8,238.74,239.745,2308398
2025-09-08 09:35,239.73,240.15,239.37,239.6601,1398484
2025-09-08 09:40,239.66,239.7,239.25,239.565,764254
2025-09-08 09:45,239.56,239.88,238.92,239.25,847144
2025-09-08 09:50,239.28,239.7399,239.25,239.535,793409
2025-09-08 09:55,239.52,239.6,239.23,239.35,581382
2025-09-08 10:00,239.32,239.41,239.0,239.405,1973126
2025-09-08 10:05,239.4,239.54,239.3,239.45,536239
2025-09-08 10:10,239.43,239.82,239.415,239.68,716239
2025-09-08 10:15,239.6842,239.84,239.51,239.65,520525
2025-09-08 10:20,239.63,239.6525,239.2,239.225,61686
2025-09-08 10:25,239.24,239.45,239.05,239.23,395613
2025-09-08 10:30,239.22,239.49,239.18,239.22,518192
2025-09-08 10:35,239.23,239.358,239.07,239.12,300458
2025-09-08 10:40,239.14,239.28,239.0602,239.09,374946
2025-09-08 10:45,239.1,239.28,238.97,239.09,459182
2025-09-08 10:50,239.075,239.135,238.835,239.06,352328
2025-09-08 10:55,239.06,239.28,239.0101,239.15,522494
