date,open,high,low,close,volume
2021-12-10,19.280000,19.580000,18.700000,18.940000,27594490
2021-12-13,18.8,19.075,18.17,18.4,38376018
2021-12-14,18.0,18.859,17.91,18.64,38864751
2021-12-15,18.37,18.94,17.995,18.86,39361880
2021-12-16,18.96,19.12,18.15,18.34,33949973
2021-12-17,18.03,19.1,17.81,19.06,44495175
2021-12-20,18.59,18.67,17.835,17.96,42265899
2021-12-21,18.16,18.98,18.1,18.9,33878598
2021-12-22,18.65,19.45,18.65,18.88,33894183
2021-12-23,18.85,19.135,18.72,18.93,24758314
2021-12-27,18.780000,19.250000,18.780000,18.940000,21782025
2021-12-28,18.890000,19.070100,18.440000,18.570000,20518849
2021-12-29,18.530000,18.600000,17.910000,18.170000,28217548
2021-12-30,18.100000,18.995000,18.070000,18.690000,29285189
2021-12-31,18.610000,18.920000,18.210000,18.210000,23555998
2022-01-03,18.360000,18.568700,17.860000,18.530000,34386628
2022-01-04,18.610000,18.840000,17.790000,18.170000,39643168
2022-01-05,18.030000,18.567800,16.870000,16.960000,58445907
2022-01-06,16.870000,17.180000,16.055000,16.740000,49737071
2022-01-07,16.700000,17.330000,16.475000,16.560000,37989265
2022-01-10,16.190000,16.570000,15.350000,16.500000,77649430
2022-01-11,16.400000,17.250000,16.320000,16.890000,47442586
2022-01-12,17.160000,17.460000,16.400000,16.720000,39784185
2022-01-13,16.800000,16.820000,15.940000,16.010000,35492186
2022-01-14,15.940000,16.248500,15.620000,16.010000,35624910
2022-01-18,15.450000,15.750000,14.920100,14.970000,49275074
2022-01-19,14.900000,15.250000,14.540000,14.560000,48049078
2022-01-20,14.890000,15.549900,14.570000,14.620000,44690391
2022-01-21,14.250000,14.478000,13.500000,13.530000,73031305
2022-01-24,12.79,13.41,11.75,13.40,110640165
2022-01-25,13.12,13.60,12.83,13.06,47456624
2022-01-26,13.600000,13.820000,12.680000,12.750000,69949711
2022-01-27,13.010000,13.060000,12.200000,12.280000,52622863
2022-01-28,12.300000,12.880000,11.890000,12.710000,54887541
2022-01-31,12.770000,13.740000,12.760000,13.710000,51039253
2022-02-01,14.230000,14.370000,13.560000,14.200000,69012946
2022-02-02,14.090000,14.200000,13.190000,13.320000,47204312
2022-02-03,12.950000,13.320000,12.420000,12.450000,47236945
2022-02-04,12.470000,13.090000,12.265000,12.940000,38989151
2022-02-07,13.025000,13.600000,12.940000,12.980000,45646074
2022-02-08,12.750000,13.188500,12.620000,13.150000,30317109
2022-02-09,13.290000,13.890000,13.260000,13.870000,34451922
2022-02-10,13.500000,14.165000,13.370000,13.560000,41998243
2022-02-11,13.450000,13.920000,12.970000,13.130000,41831569
